
2024/08/11 (22:43:44) | ===> btop++ v.1.3.2
2024/08/11 (22:43:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (22:44:49) | ===> btop++ v.1.3.2
2024/08/11 (22:44:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (23:13:02) | ===> btop++ v.1.3.2
2024/08/11 (23:13:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (23:51:29) | ===> btop++ v.1.3.2
2024/08/11 (23:51:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (23:53:16) | ===> btop++ v.1.3.2
2024/08/11 (23:53:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/11 (23:55:54) | ===> btop++ v.1.3.2
2024/08/11 (23:55:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
